Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Land/Home Financial Services,MI,48382,N/A,Fax,8/6/2013,Closed with explanation,No,
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,JPMorgan Chase & Co.,NJ,8530,N/A,Postal mail,7/30/2013,Closed with monetary relief,Yes,No
7/29/2013,Credit card,,Delinquent account,,Amex,TX,78232,N/A,Web,7/29/2013,Closed with monetary relief,Yes,No
7/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,Nationstar Mortgage,GA,30041,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,Wells Fargo & Company,TX,77381,N/A,Postal mail,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Ocwen,MA,2368,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CIT Bank National Association,NY,11101,N/A,Web,7/31/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,Bank of America,CA,91701,N/A,Web,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Alpine Financial Solutions, Inc.",KY,42303,N/A,Postal mail,12/4/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Ditech Financial LLC,TN,37218,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,Problems caused by my funds being low,,Wells Fargo & Company,NJ,8618,N/A,Phone,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,Citibank,GA,30135,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,Equifax,MO,64725,N/A,Fax,7/29/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,U.S. Bancorp,MN,55414,N/A,Web,8/1/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Credit card,,Billing disputes,,Capital One,FL,32226,N/A,Web,7/29/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,Wells Fargo & Company,CA,92277,N/A,Web,8/5/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",,First Tennessee Bank,TN,37806,N/A,Phone,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,Discover,MA,2043,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Wells Fargo & Company,CA,91741,N/A,Phone,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,Bank of America,CA,91320,N/A,Web,7/31/2013,Closed with explanation,Yes,No
7/29/2013,Credit card,,Credit line increase/decrease,,Citibank,WI,53066,N/A,Phone,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,CA,95765,N/A,Web,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CIT Bank National Association,CA,95363,N/A,Phone,7/31/2013,Closed,Yes,No
7/29/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,"Borenstein & Associates, LLC",WY,82605,N/A,Web,9/17/2013,Closed,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Houston Home Loan, Inc.",TX,77386,N/A,Web,8/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,Ocwen,NY,10038,N/A,Web,8/13/2013,Closed,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Ocwen,VA,24112,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,,Bank of America,NY,11716,N/A,Phone,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,"Fidelity National Information Services, Inc. (FNIS)",CT,6514,N/A,Referral,8/21/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,People's United Bank,CT,6514,N/A,Referral,7/31/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"Citizens Financial Group, Inc.",VT,5770,N/A,Web,8/1/2013,Closed with non-monetary relief,Yes,No
7/30/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,Ally Financial Inc.,MI,48238,N/A,Fax,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,"Asset Management Outsourcing, Inc.",NY,11030,N/A,Web,7/31/2013,Closed with explanation,Yes,No
7/30/2013,Credit card,,Payoff process,,Wells Fargo & Company,NV,89108,N/A,Phone,8/2/2013,Closed with explanation,Yes,No
7/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Bank of America,CA,95219,N/A,Web,7/31/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,TD Bank US Holding Company,NJ,7656,N/A,Postal mail,7/31/2013,Closed with monetary relief,Yes,No
7/29/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"TransUnion Intermediate Holdings, Inc.",CO,80247,N/A,Web,7/29/2013,Closed with non-monetary relief,Yes,No
7/30/2013,Bank account or service,Checking account,Using a debit or ATM card,,JPMorgan Chase & Co.,NY,11772,N/A,Web,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,Wells Fargo & Company,FL,33326,N/A,Web,7/31/2013,Closed with explanation,Yes,No
7/30/2013,Bank account or service,Savings account,Deposits and withdrawals,,JPMorgan Chase & Co.,NY,10469,N/A,Web,8/1/2013,Closed with explanation,Yes,No
7/30/2013,Credit card,,Closing/Cancelling account,,Citibank,TX,78249,N/A,Web,7/30/2013,Closed with explanation,Yes,Yes
7/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",,Wells Fargo & Company,GA,30680,N/A,Web,8/1/2013,Closed with non-monetary relief,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Bank of America,MI,49042,N/A,Referral,8/2/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,NY,11230,N/A,Referral,7/30/2013,Closed with explanation,Yes,No
8/1/2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",,New York Community Bank,NJ,7002,N/A,Referral,8/7/2013,Closed with explanation,Yes,No
8/14/2013,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,M&T Bank Corporation,VA,20191,N/A,Web,8/15/2013,Closed with explanation,Yes,No
7/26/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,JPMorgan Chase & Co.,CA,92129,N/A,Referral,7/29/2013,Closed with explanation,Yes,No
8/14/2013,Bank account or service,Checking account,Problems caused by my funds being low,,Wells Fargo & Company,NV,89169,N/A,Referral,8/16/2013,Closed with monetary relief,Yes,No
8/8/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,PNC Bank N.A.,IL,60453,N/A,Web,8/12/2013,Closed with explanation,Yes,No
7/26/2013,Mortgage,Other mortgage,Other,,Ocwen,IL,60419,N/A,Referral,7/29/2013,Closed with explanation,Yes,No
8/14/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,CA,91762,N/A,Referral,8/16/2013,Closed with explanation,Yes,No
8/21/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,JPMorgan Chase & Co.,FL,33708,N/A,Web,8/22/2013,Closed with monetary relief,Yes,No
7/26/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Nationstar Mortgage,TX,78212,N/A,Referral,8/6/2013,Closed with explanation,Yes,No
8/14/2013,Mortgage,Other mortgage,Other,,Bank of America,CA,95821,N/A,Referral,8/16/2013,Closed with explanation,Yes,No
8/21/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,"Monarch Recovery Holdings, Inc.",MS,39404,N/A,Postal mail,10/16/2013,Closed with non-monetary relief,No,No
7/26/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,"Select Portfolio Servicing, Inc",NV,89101,N/A,Referral,7/29/2013,Closed with explanation,Yes,No
7/26/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Loan Care,FL,33064,N/A,Referral,7/29/2013,Closed with explanation,Yes,No
7/26/2013,Credit card,,Application processing delay,,Citibank,MO,65556,N/A,Referral,7/29/2013,Closed with explanation,Yes,No
8/14/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,PNC Bank N.A.,FL,34654,N/A,Referral,8/16/2013,Closed with non-monetary relief,Yes,No
7/26/2013,Mortgage,Other mortgage,Other,,Bank of America,TX,75123,N/A,Referral,7/29/2013,Closed with explanation,Yes,No
7/26/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,Equifax,MI,48220,N/A,Web,7/26/2013,Closed with non-monetary relief,Yes,No
8/14/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,TD Bank US Holding Company,NJ,7628,N/A,Web,8/15/2013,Closed with monetary relief,Yes,Yes
8/21/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,Equifax,AZ,85140,N/A,Web,8/21/2013,Closed with non-monetary relief,Yes,No
8/21/2013,Credit card,,APR or interest rate,,Capital One,HI,96734,N/A,Web,8/21/2013,Closed with monetary relief,Yes,No
7/26/2013,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,JPMorgan Chase & Co.,NY,10024,N/A,Web,7/29/2013,Closed with monetary relief,Yes,No
8/1/2013,Credit reporting,,Incorrect information on credit report,Account status,Experian,ME,4401,N/A,Web,8/1/2013,Closed with explanation,Yes,Yes
8/8/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"NCB Management Services, Inc.",MI,63385,N/A,Phone,8/12/2013,Closed with non-monetary relief,Yes,No
8/21/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Nationstar Mortgage,FL,33901,N/A,Web,8/22/2013,Closed with explanation,Yes,No
8/21/2013,Bank account or service,Checking account,"Account opening, closing, or management",,JPMorgan Chase & Co.,MA,2215,N/A,Web,8/26/2013,Closed with monetary relief,Yes,No
7/26/2013,Credit card,,Overlimit fee,,Capital One,MI,48505,N/A,Web,7/26/2013,Closed with monetary relief,Yes,No
8/14/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,Wells Fargo & Company,PA,18062,N/A,Referral,8/16/2013,Closed with explanation,Yes,No
8/14/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,Equifax,IN,46307,N/A,Postal mail,9/20/2013,Closed with non-monetary relief,Yes,No
8/8/2013,Bank account or service,Checking account,Deposits and withdrawals,,JPMorgan Chase & Co.,CA,95403,N/A,Referral,8/12/2013,Closed with explanation,Yes,No
8/8/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,JPMorgan Chase & Co.,CA,90501,N/A,Referral,8/12/2013,Closed with explanation,Yes,Yes
8/14/2013,Debt collection,I do not know,False statements or representation,Impersonated an attorney or official,United Portfolio Corp.,TX,78729,N/A,Web,8/16/2013,Closed with non-monetary relief,Yes,No
8/8/2013,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,United Student Aid (USA) Funds,,,N/A,Phone,9/10/2013,Closed with explanation,Yes,No
7/26/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,Equifax,GA,30213,N/A,Web,7/26/2013,Closed with non-monetary relief,Yes,No
8/14/2013,Credit reporting,,Incorrect information on credit report,Account terms,"Fidelity National Information Services, Inc. (FNIS)",NY,11949,N/A,Web,8/15/2013,Closed with explanation,Yes,Yes
7/26/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"EOS Holdings, Inc.",CA,93444,N/A,Referral,7/30/2013,Closed with explanation,Yes,No
8/2/2013,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,Wells Fargo & Company,CA,92706,N/A,Web,8/7/2013,Closed with monetary relief,Yes,No
8/14/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Bank of America,AL,36083,N/A,Web,8/14/2013,Closed with explanation,Yes,Yes
8/14/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,Equifax,NJ,7836,N/A,Web,8/14/2013,Closed with non-monetary relief,Yes,No
8/14/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,PNC Bank N.A.,CO,80602,N/A,Web,8/14/2013,Closed with explanation,Yes,No
8/8/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,Bank of America,NH,3304,N/A,Web,8/13/2013,Closed with explanation,Yes,Yes
7/26/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Arvest Bank,IN,60156,N/A,Web,7/29/2013,Closed with explanation,Yes,No
8/21/2013,Consumer Loan,Personal line of credit,Account terms and changes,,Wells Fargo & Company,NC,27615,N/A,Phone,9/25/2013,Closed with explanation,Yes,Yes
8/8/2013,Credit reporting,,Incorrect information on credit report,Public record,Equifax,LA,70814,N/A,Web,8/8/2013,Closed with non-monetary relief,Yes,No
8/14/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Bank of America,NY,10601,N/A,Postal mail,8/15/2013,Closed with explanation,Yes,No
8/21/2013,Credit card,,Billing disputes,,JPMorgan Chase & Co.,FL,33308,N/A,Referral,9/17/2013,Closed with explanation,Yes,No
8/2/2013,Credit card,,Forbearance / Workout plans,,Synchrony Financial,NJ,8801,N/A,Web,8/5/2013,Closed with monetary relief,Yes,No
8/2/2013,Credit card,,Billing disputes,,Capital One,TX,75254,N/A,Web,8/1/2013,Closed with monetary relief,Yes,No
8/21/2013,Credit card,,Billing disputes,,Capital One,AL,35210,N/A,Phone,8/22/2013,Closed with explanation,Yes,No
8/21/2013,Bank account or service,Checking account,Deposits and withdrawals,,Bank of America,FL,32809,N/A,Web,8/22/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,FHA mortgage,Credit decision / Underwriting,,Bank of America,TX,76135,N/A,Web,8/6/2013,Closed with explanation,Yes,Yes
8/14/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,"Portfolio Recovery Associates, Inc.",FL,33472,N/A,Postal mail,6/2/2014,Closed with explanation,Yes,No
8/21/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,Bank of America,PA,19055,N/A,Web,8/22/2013,Closed with explanation,Yes,Yes
7/26/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Retrieval-Masters Creditors Bureau, Inc.",NJ,7508,N/A,Phone,8/1/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,Bank of America,PA,15717,N/A,Web,8/6/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,Selene Finance,NJ,8759,N/A,Referral,8/6/2013,Closed with explanation,Yes,No
8/8/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,LCS Financial Corporation,CA,92591,N/A,Web,8/29/2013,Closed with explanation,Yes,No
8/8/2013,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,Ditech Financial LLC,GA,30152,N/A,Web,8/8/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,Wells Fargo & Company,OK,74126,N/A,Web,8/6/2013,Closed with explanation,Yes,Yes
8/2/2013,Bank account or service,Checking account,Deposits and withdrawals,,Capital One,LA,70004,N/A,Web,8/5/2013,Closed with explanation,Yes,No
7/26/2013,Bank account or service,Checking account,Problems caused by my funds being low,,FirstMerit Bank,MI,48642,N/A,Web,9/5/2013,Closed with monetary relief,Yes,No
8/21/2013,Credit reporting,,Incorrect information on credit report,Personal information,Equifax,GA,30228,N/A,Web,8/21/2013,Closed with non-monetary relief,Yes,No
8/2/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CIT Bank National Association,CA,91202,N/A,Web,8/6/2013,Closed with explanation,Yes,No
8/2/2013,Credit card,,Credit card protection / Debt protection,,Capital One,MA,1773,N/A,Web,8/5/2013,Closed with non-monetary relief,Yes,Yes
7/26/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Bank of America,CA,90008,N/A,Phone,7/29/2013,Closed with explanation,Yes,Yes
8/2/2013,Consumer Loan,Installment loan,Managing the loan or lease,,PNC Bank N.A.,OH,44107,N/A,Web,8/5/2013,Closed with explanation,Yes,Yes
8/2/2013,Credit reporting,,Incorrect information on credit report,Account terms,Equifax,TX,75205,N/A,Web,8/2/2013,Closed with non-monetary relief,Yes,No
8/21/2013,Credit card,,Billing disputes,,Capital One,PA,16433,N/A,Referral,8/22/2013,Closed with monetary relief,Yes,No
7/26/2013,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,Citibank,GA,30331,N/A,Web,8/1/2013,Closed with explanation,Yes,No
7/26/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,SquareTwo Financial Corporation,GA,30106,N/A,Web,7/26/2013,Closed with explanation,Yes,Yes
8/21/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,Encore Capital Group,OR,97701,N/A,Phone,8/22/2013,Closed with explanation,Yes,No
8/14/2013,Credit card,,Credit determination,,Synchrony Financial,GA,31811,N/A,Web,8/14/2013,Closed with explanation,Yes,No
8/14/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,Experian,CA,93012,N/A,Web,8/16/2013,Closed with explanation,Yes,No
8/8/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,CA,92410,N/A,Referral,8/19/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,PNC Bank N.A.,OH,45420,N/A,Referral,8/6/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Bank of America,CA,92107,N/A,Referral,8/6/2013,Closed with explanation,Yes,No
8/14/2013,Credit card,,Late fee,,Bank of America,NY,10024,N/A,Web,8/20/2013,Closed with monetary relief,Yes,No
8/21/2013,Bank account or service,Checking account,Deposits and withdrawals,,JPMorgan Chase & Co.,WI,53719,N/A,Referral,8/22/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Bank of America,FL,34109,N/A,Referral,8/6/2013,Closed with non-monetary relief,Yes,No
8/14/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,Fifth Third Financial Corporation,OH,43560,N/A,Web,8/21/2013,Closed with explanation,Yes,No
8/2/2013,Bank account or service,Checking account,Using a debit or ATM card,,BB&T Financial,AL,35215,N/A,Referral,8/12/2013,Closed with explanation,Yes,No
8/14/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,First Tennessee Bank,CA,95667,N/A,Web,8/15/2013,Closed with explanation,Yes,Yes
7/26/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Bank of America,NY,11758,N/A,Web,7/29/2013,Closed with non-monetary relief,Yes,Yes
8/14/2013,Mortgage,VA mortgage,Settlement process and costs,,Bank of America,KY,40213,N/A,Web,8/15/2013,Closed with explanation,Yes,No
7/26/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CIT Bank National Association,IL,62269,N/A,Web,7/29/2013,Closed,Yes,No
8/8/2013,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,Capital One,FL,33013,N/A,Referral,8/9/2013,Closed with explanation,Yes,No
8/2/2013,Credit reporting,,Incorrect information on credit report,Account status,"TransUnion Intermediate Holdings, Inc.",FL,32578,N/A,Web,8/2/2013,Closed with explanation,Yes,No
8/2/2013,Credit reporting,,Incorrect information on credit report,Account status,Experian,FL,32578,N/A,Web,8/2/2013,Closed with non-monetary relief,Yes,No
7/26/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,Equifax,CA,91320,N/A,Web,7/26/2013,Closed with non-monetary relief,Yes,No
8/8/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,TD Bank US Holding Company,FL,32667,N/A,Web,9/30/2013,Closed with explanation,Yes,No
8/2/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,M&T Bank Corporation,TX,78245,N/A,Referral,8/6/2013,Closed with explanation,Yes,No
8/21/2013,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,Euler Hermes Collections North America Company,CO,80134,N/A,Web,11/7/2013,Closed with non-monetary relief,No,
8/2/2013,Credit reporting,,Incorrect information on credit report,Public record,Capital One,HI,96818,N/A,Web,8/7/2013,Closed with explanation,Yes,No
8/8/2013,Credit card,,Billing disputes,,Wells Fargo & Company,NC,28205,N/A,Web,8/12/2013,Closed with explanation,Yes,No
